ID,PlayerName,GamesPlayed,GamesStarted,TotalAssists,AssistsPerGame,Turnovers,TurnoversPerGame,AssistsPerTurnover
1,N. Jokic,10,10,117,11.7,41,4.1,2.9
2,T. Young,11,11,127,11.5,50,4.6,2.5
3,J. Morant,8,8,73,9.1,34,4.3,2.1
4,J. Harden,11,11,99,9.0,57,5.2,1.7
5,L. James,10,10,89,8.9,28,2.8,3.2
6,C. Paul,11,11,92,8.4,24,2.2,3.8
7,C. Cunningham,11,11,91,8.3,52,4.7,1.8
8,T. Haliburton,10,10,83,8.3,18,1.8,4.6
9,L. Doncic,10,10,82,8.2,31,3.1,2.6
10,D. Booker,10,10,73,7.3,19,1.9,3.8
11,B. Simmons,8,6,57,7.1,26,3.3,2.2
12,J. Giddey,11,11,77,7.0,30,2.7,2.6
13,J. Brunson,9,9,59,6.6,16,1.8,3.7
14,D. Lillard,10,10,66,6.6,27,2.7,2.4
15,D. Sabonis,11,11,73,6.6,33,3.0,2.2
16,D. Garland,12,12,78,6.5,30,2.5,2.6
17,S. Gilgeous-Alexander,11,11,71,6.5,31,2.8,2.3
18,S. Pippen Jr.,11,2,71,6.5,28,2.6,2.5
19,K. George,8,8,51,6.4,26,3.3,2.0
20,S. Curry,7,7,44,6.3,25,3.6,1.8
21,T. Jones,10,10,63,6.3,11,1.1,5.7
22,L. Ball,10,10,62,6.2,47,4.7,1.3
23,D. Schroder,11,11,68,6.2,28,2.6,2.4
24,R. Barrett,8,8,49,6.1,27,3.4,1.8
25,D. Mitchell,11,8,66,6.0,24,2.2,2.8
26,F. VanVleet,10,10,58,5.8,10,1.0,5.8
27,R. Westbrook,10,3,54,5.4,25,2.5,2.2
28,G. Antetokounmpo,9,9,47,5.2,24,2.7,2.0
29,A. Reaves,10,10,52,5.2,23,2.3,2.3
30,C. Carrington,9,8,46,5.1,14,1.6,3.3
31,D. Green,10,10,51,5.1,20,2.0,2.6
32,J. Hart,9,9,46,5.1,17,1.9,2.7
33,C. White,11,11,56,5.1,32,2.9,1.8
34,T. Herro,9,9,45,5.0,25,2.8,1.8
35,B. Ingram,11,11,55,5.0,36,3.3,1.5
36,J. Tatum,11,11,55,5.0,32,2.9,1.7
37,J. Williams,11,11,55,5.0,26,2.4,2.1
38,J. Butler,8,8,39,4.9,14,1.8,2.8
39,J. Johnson,11,11,54,4.9,37,3.4,1.5
40,J. Murray,7,7,34,4.9,12,1.7,2.8
41,D. Russell,10,8,49,4.9,16,1.6,3.1
42,S. Henderson,11,0,53,4.8,32,2.9,1.7
43,K. Irving,10,10,48,4.8,16,1.6,3.0
44,D. Fox,11,11,52,4.7,38,3.5,1.4
45,A. Nembhard,7,7,33,4.7,10,1.4,3.3
46,M. Conley,10,10,46,4.6,13,1.3,3.5
47,J. Randle,10,10,46,4.6,29,2.9,1.6
48,A. Simons,11,11,51,4.6,29,2.6,1.8
49,J. Alvarado,11,7,49,4.5,14,1.3,3.5
50,P. Siakam,10,10,45,4.5,12,1.2,3.8
51,C. LeVert,10,0,45,4.5,9,0.9,5.0
52,F. Wagner,11,11,50,4.5,25,2.3,2.0
53,D. White,11,11,48,4.4,14,1.3,3.4
54,D. DeRozan,11,11,46,4.2,21,1.9,2.2
55,J. Poole,9,9,38,4.2,32,3.6,1.2
56,J. Suggs,11,11,46,4.2,31,2.8,1.5
57,A. Black,11,1,45,4.1,23,2.1,2.0
58,B. Adebayo,9,9,36,4.0,12,1.3,3.0
59,A. Dosunmu,11,3,44,4.0,14,1.3,3.1
60,T. McConnell,9,0,36,4.0,15,1.7,2.4
61,T. Rozier,9,9,36,4.0,17,1.9,2.1
62,B. Boston Jr.,8,4,31,3.9,6,0.8,5.2
63,K. Lowry,9,6,35,3.9,10,1.1,3.5
64,T. Maxey,7,7,27,3.9,14,2.0,1.9
65,A. Edwards,10,10,38,3.8,35,3.5,1.1
66,J. LaRavia,11,0,42,3.8,16,1.5,2.6
67,A. Sengun,11,11,42,3.8,22,2.0,1.9
68,S. Aldama,11,9,41,3.7,17,1.6,2.4
69,D. DiVincenzo,10,0,37,3.7,18,1.8,2.1
70,J. Holiday,11,11,41,3.7,17,1.6,2.4
71,D. Mitchell,12,12,44,3.7,28,2.3,1.6
72,B. Podziemski,9,3,33,3.7,15,1.7,2.2
73,J. Shead,11,0,41,3.7,18,1.6,2.3
74,B. Beal,8,8,29,3.6,10,1.3,2.9
75,J. Ivey,11,11,39,3.5,37,3.4,1.1
76,T. Jerome,12,0,42,3.5,12,1.0,3.5
77,M. Bridges,9,9,31,3.4,14,1.6,2.2
78,K. Durant,9,9,31,3.4,30,3.3,1.0
79,J. Clarkson,7,2,23,3.3,16,2.3,1.4
80,Z. LaVine,8,8,26,3.3,27,3.4,1.0
81,T. Mann,10,0,33,3.3,19,1.9,1.7
82,N. Vucevic,11,11,35,3.2,19,1.7,1.8
83,A. Gordon,7,7,22,3.1,9,1.3,2.4
84,J. Poeltl,11,11,34,3.1,29,2.6,1.2
85,C. Sexton,9,7,28,3.1,25,2.8,1.1
86,C. Thomas,11,11,34,3.1,31,2.8,1.1
87,D. Avdija,11,10,33,3.0,22,2.0,1.5
88,C. Martin,9,8,27,3.0,20,2.2,1.4
89,J. Green,11,11,32,2.9,29,2.6,1.1
90,M. Porter Jr.,10,10,29,2.9,11,1.1,2.6
91,S. Castle,11,4,31,2.8,13,1.2,2.4
92,A. Davis,9,9,25,2.8,20,2.2,1.3
93,M. Monk,10,0,28,2.8,8,0.8,3.5
94,N. Alexander-Walker,10,0,27,2.7,12,1.2,2.3
95,O. Anunoby,9,9,24,2.7,11,1.2,2.2
96,B. Coulibaly,9,9,24,2.7,22,2.4,1.1
97,K. Dunn,11,0,30,2.7,10,0.9,3.0
98,N. Marshall,10,3,27,2.7,8,0.8,3.4
99,E. Mobley,12,12,32,2.7,25,2.1,1.3
100,K. Porter,11,0,30,2.7,27,2.5,1.1
101,M. McBride,9,0,24,2.7,10,1.1,2.4
102,V. Wembanyama,11,11,30,2.7,40,3.6,0.8
103,K. Anderson,10,0,26,2.6,3,0.3,8.7
104,N. Claxton,10,4,26,2.6,10,1.0,2.6
105,J. Collins,9,0,23,2.6,24,2.7,1.0
106,K. George,9,4,23,2.6,9,1.0,2.6
107,C. Johnson,11,11,29,2.6,5,0.5,5.8
108,J. Valanciunas,9,2,23,2.6,16,1.8,1.4
109,M. Bridges,8,8,20,2.5,13,1.6,1.5
110,J. Butler,8,0,20,2.5,2,0.3,10.0
111,N. Powell,11,11,28,2.5,24,2.2,1.2
112,P. Pritchard,11,0,28,2.5,15,1.4,1.9
113,I. Zubac,11,11,28,2.5,24,2.2,1.2
114,D. Daniels,9,9,22,2.4,11,1.2,2.0
115,J. Duren,9,9,22,2.4,16,1.8,1.4
116,T. Harris,11,11,26,2.4,17,1.6,1.5
117,A. Horford,10,10,24,2.4,10,1.0,2.4
118,G. Williams,10,1,24,2.4,19,1.9,1.3
119,A. Caruso,11,0,25,2.3,7,0.6,3.6
120,G. Dick,11,11,25,2.3,15,1.4,1.7
121,T. Jackson-Davis,10,10,23,2.3,5,0.5,4.6
122,R. O'Neale,10,0,23,2.3,9,0.9,2.6
123,I. Stewart,11,2,25,2.3,14,1.3,1.8
124,K. Towns,9,9,21,2.3,16,1.8,1.3
