ID,PlayerName,GamesPlayed,GamesStarted,MinutesPerGame,OffensiveRebounds,DeffensiveRebounds,TotalRebounds,ReboundsPerGame
1,N. Jokic,10,10,38.1,45,92,137,13.7
2,G. Antetokounmpo,9,9,34.8,21,94,115,12.8
3,D. Sabonis,11,11,36.8,34,107,141,12.8
4,I. Zubac,11,11,35.0,48,93,141,12.8
5,K. Towns,9,9,32.9,29,82,111,12.3
6,A. Sengun,11,11,28.6,42,85,127,11.5
7,J. Poeltl,11,11,32.4,42,83,125,11.4
8,A. Drummond,9,9,26.1,34,62,96,10.7
9,R. Gobert,10,10,31.6,30,77,107,10.7
10,W. Kessler,9,9,26.4,34,62,96,10.7
11,J. Allen,12,12,29.4,24,103,127,10.6
12,D. Ayton,11,11,29.3,33,83,116,10.5
13,V. Wembanyama,11,11,31.3,24,92,116,10.5
14,A. Davis,9,9,35.1,19,75,94,10.4
15,J. Nurkic,10,10,24.4,15,87,102,10.2
16,N. Vucevic,11,11,32.2,28,83,111,10.1
17,J. Johnson,11,11,36.5,22,88,110,10.0
18,J. Duren,9,9,23.3,29,58,87,9.7
19,J. Hart,9,9,36.7,17,64,81,9.0
20,B. Adebayo,9,9,33.9,27,53,80,8.9
21,E. Mobley,12,12,30.0,23,82,105,8.8
22,C. Holmgren,10,10,26.5,16,71,87,8.7
23,K. Murray,11,11,37.3,28,65,93,8.5
24,J. Harden,11,11,35.1,10,82,92,8.4
25,K. Looney,9,0,16.2,35,39,74,8.2
26,B. Portis,10,1,25.1,21,61,82,8.2
27,L. Doncic,10,10,37.6,5,76,81,8.1
28,N. Claxton,10,4,24.9,22,58,80,8.0
29,L. James,10,10,34.8,4,73,77,7.7
30,P. Washington,7,7,32.6,12,42,54,7.7
31,S. Aldama,11,9,30.1,16,68,84,7.6
32,J. Tatum,11,11,36.0,5,79,84,7.6
33,T. Harris,11,11,32.8,10,73,83,7.5
34,J. Collins,9,0,24.3,19,48,67,7.4
35,C. Cunningham,11,11,36.1,9,71,80,7.3
36,I. Stewart,11,2,22.5,31,49,80,7.3
37,M. Turner,9,9,32.6,8,58,66,7.3
38,C. Capela,11,11,22.7,27,52,79,7.2
39,J. Valanciunas,9,2,20.6,20,45,65,7.2
