ID,Name,GamesPlayed,GamesStarted,MinutesPerGame,PointsPerGame,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,ThreePointFieldGoalsMade,ThreePointFieldGoalsAttempted,ThreePointFieldGoalPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage
1,G. Antetokounmpo,9,9,34.8,31.6,116,191,60.7,1,6,16.7,51,92,55.4
2,A. Davis,9,9,35.1,31.2,97,168,57.7,6,17,35.3,81,102,79.4
3,J. Tatum,11,11,36.0,30.5,105,226,46.5,47,128,36.7,79,99,79.8
4,N. Jokic,10,10,38.1,29.7,108,192,56.3,22,39,56.4,59,70,84.3
5,L. Ball,10,10,33.4,29.4,102,230,44.3,48,130,36.9,42,50,84.0
6,L. Doncic,10,10,37.6,28.3,96,233,41.2,33,99,33.3,58,74,78.4
7,A. Edwards,10,10,36.2,28.3,99,210,47.1,54,118,45.8,31,46,67.4
8,S. Gilgeous-Alexander,11,11,33.2,27.8,105,210,50.0,18,61,29.5,78,87,89.7
9,K. Durant,9,9,38.8,27.6,89,161,55.3,24,56,42.9,46,55,83.6
10,T. Maxey,7,7,39.7,27.6,67,165,40.6,22,77,28.6,37,45,82.2
11,D. Lillard,10,10,35.8,26.0,79,178,44.4,32,92,34.8,70,77,90.9
12,N. Powell,11,11,34.4,26.0,98,186,52.7,46,91,50.5,44,53,83.0
13,K. Irving,10,10,35.6,25.6,96,178,53.9,32,58,55.2,32,37,86.5
14,J. Brunson,9,9,34.6,25.0,81,170,47.6,20,48,41.7,43,53,81.1
15,K. Towns,9,9,32.9,24.9,80,150,53.3,22,41,53.7,42,48,87.5
16,D. DeRozan,11,11,38.2,24.8,101,192,52.6,10,25,40.0,61,71,85.9
17,C. Thomas,11,11,34.5,24.5,89,205,43.4,29,83,34.9,62,69,89.9
18,D. Fox,11,11,37.3,24.2,98,207,47.3,20,71,28.2,50,57,87.7
19,T. Young,11,11,36.5,23.9,80,205,39.0,34,102,33.3,69,78,88.5
20,D. Mitchell,12,12,30.7,23.7,101,216,46.8,41,100,41.0,41,48,85.4
21,T. Herro,9,9,32.6,23.2,73,143,51.0,36,79,45.6,27,33,81.8
22,L. James,10,10,34.8,23.2,84,163,51.5,24,54,44.4,40,49,81.6
23,R. Barrett,8,8,33.3,23.1,68,157,43.3,17,52,32.7,32,46,69.6
24,D. Booker,10,10,37.3,23.1,75,176,42.6,26,81,32.1,55,62,88.7
25,C. Cunningham,11,11,36.1,23.1,100,212,47.2,21,60,35.0,33,42,78.6
26,B. Ingram,11,11,32.8,22.9,101,212,47.6,25,74,33.8,25,28,89.3
27,Z. LaVine,8,8,34.5,22.5,65,125,52.0,25,60,41.7,25,32,78.1
28,S. Curry,7,7,28.3,22.0,50,106,47.2,27,62,43.5,27,28,96.4
29,J. Jackson Jr.,9,9,27.7,21.8,72,130,55.4,18,44,40.9,34,46,73.9
